Name;Domain;Description;Technique;Tactic
T-IMG-01;enterprise-attack;Compromised image In registry;T1195.002;TA0001
T-IMG-01;enterprise-attack;Compromised image In registry;T1525;TA0001
T-IMG-01;enterprise-attack;Application vulnerability;T1190;TA0001
T-GEN-02;enterprise-attack;Exposed sensitive interfaces;T1133;TA0001
T-GEN-02;enterprise-attack;Exposed sensitive interfaces;T1133;TA0007
T-GEN-02;enterprise-attack;Exposed sensitive interfaces;T1078;TA0001
T-GEN-02;enterprise-attack;Exposed sensitive interfaces;T1078;TA0007
T-ADMIN-02;enterprise-attack;Exec into container;T1609;TA0002
T-O2-01;enterprise-attack;Exec into container;T1609;TA0002
T-VM-C-03;enterprise-attack;Exec into container;T1609;TA0002
T-VM-C-04;enterprise-attack;Exec into container;T1609;TA0002
T-VM-C-01;enterprise-attack;Bash or cmd inside container;T1059;TA0002
T-VM-C-01;enterprise-attack;Bash or cmd inside container;TT1204;TA0002
T-ADMIN-02;enterprise-attack;Bash or cmd inside container;T1059;TA0002
T-ADMIN-02;enterprise-attack;Bash or cmd inside container;TT1204;TA0002
T-HW-01;enterprise-attack;Bash or cmd inside container;T1059;TA0002
T-HW-01;enterprise-attack;Bash or cmd inside container;TT1204;TA0002
T-IMG-01;enterprise-attack;Bash or cmd inside container;T1059;TA0002
T-IMG-01;enterprise-attack;Bash or cmd inside container;TT1204;TA0002
T-IMG-01;enterprise-attack;New container;T1610;TA0002
T-IMG-01;enterprise-attack;New container;T1612;TA0002
T-IMG-04;enterprise-attack;New container;T1610;TA0002
T-IMG-04;enterprise-attack;New container;T1612;TA0002
T-GEN-01;enterprise-attack;Application exploit (RCE);T1190;TA0002
T-VM-C-01;enterprise-attack;Backdoor container;T1543;TA0003
T-VM-C-01;enterprise-attack;Backdoor container;T1542;TA0003
T-VL-02;enterprise-attack;Backdoor container;T1543;TA0003
T-VL-02;enterprise-attack;Backdoor container;T1542;TA0003
T-VM-C-02;enterprise-attack;Writable hostPath mount;T1611;TA0003
T-VM-C-02;enterprise-attack;Writable hostPath mount;T1611;TA0004
T-VM-C-02;enterprise-attack;Writable hostPath mount;T1611;TA0008
T-VM-C-01;enterprise-attack;Kubernetes CronJob;T1053.007;TA0003
T-GEN-02;enterprise-attack;Container service account;T1528;TA0006
T-GEN-02;enterprise-attack;Container service account;T1528;TA0008
T-GEN-02;enterprise-attack;Container service account;T1528;TA0003
T-VM-C-01;enterprise-attack;Privileged container;T1610;TA0004
T-VM-C-01;enterprise-attack;Clear container logs;T1070;TA0005
T-O2-01;enterprise-attack;Delete Kubernetes events;T1070;TA0005
T-VL-01;enterprise-attack;Pod or container name similarity;T1036;TA0005
T-VL-01;enterprise-attack;Pod or container name similarity;T1036.005;TA0005
T-IMG-01;enterprise-attack;Pod or container name similarity;T1036;TA0005
T-IMG-01;enterprise-attack;Pod or container name similarity;T1036.005;TA0005
T-IMG-03;enterprise-attack;List Kubernetes secrets;T1552;TA0006
T-GEN-02;enterprise-attack;Mount service principal;T1552;TA0006
T-ADMIN-02;enterprise-attack;Application credentials in configuration files;T1552;TA0006
T-ADMIN-02;enterprise-attack;Application credentials in configuration files;T1552;TA0008
T-VM-C-03;enterprise-attack;Application credentials in configuration files;T1552;TA0006
T-VM-C-03;enterprise-attack;Application credentials in configuration files;T1552;TA0008
T-GEN-02;enterprise-attack;Access Managed Identity credentials;T1552;TA0006
T-O2-01;enterprise-attack;Access Kubernetes API server;T1613;TA0007
T-O2-01;enterprise-attack;Access Kubelet API;T1613;TA0007
T-O2-01;enterprise-attack;Network mapping;T1046;TA0007
T-VM-C-03;enterprise-attack;Instance Metadata API;T1552;TA0007
T-IMG-03;enterprise-attack;Instance Metadata API;T1552;TA0007
T-VM-C-02;enterprise-attack;Cluster internal networking;T1210;TA0008
T-IMG-01;enterprise-attack;Images from a private registry;T1530;TA0009
T-IMG-04;enterprise-attack;Images from a private registry;T1530;TA0009
T-VM-C-01;enterprise-attack;Data destruction;T1485;TA0040
T-VM-C-04;enterprise-attack;Resource hijacking;T1496;TA0040
T-VL-01;enterprise-attack;Resource hijacking;T1496;TA0040
T-ADMIN-01;enterprise-attack;Denial of service;T1498;TA0040
T-ADMIN-01;enterprise-attack;Denial of service;T1499;TA0040
T-VM-C-04;enterprise-attack;Denial of service;T1498;TA0040
T-VM-C-04;enterprise-attack;Denial of service;T1499;TA0040
T-VM-C-05;enterprise-attack;Denial of service;T1498;TA0040
T-VM-C-05;enterprise-attack;Denial of service;T1499;TA0040